127.0.0.1 - - [27/Mar/2023:12:11:32 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Mar/2023:12:11:33 +0530] "GET /jerseyrest/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:12:12:19 +0530] "GET /jerseyrest/webapi/book HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [27/Mar/2023:12:12:24 +0530] "GET /jerseyrest/webapi/books HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [27/Mar/2023:12:13:16 +0530] "GET /jerseyrest/webapi/myresource HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [27/Mar/2023:12:16:10 +0530] "GET /jerseyrest/webapi/books HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [27/Mar/2023:12:17:00 +0530] "GET /jerseyrest/webapi/books/book/1 HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [27/Mar/2023:12:41:12 +0530] "GET /jerseyrest/webapi/books/book/1 HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [27/Mar/2023:12:41:12 +0530] "GET /jerseyrest/webapi/books/book/1 HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [27/Mar/2023:12:41:12 +0530] "GET /jerseyrest/webapi/books/book/1 HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [27/Mar/2023:12:41:12 +0530] "GET /jerseyrest/webapi/books/book/1 HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [27/Mar/2023:12:41:13 +0530] "GET /jerseyrest/webapi/books/book/1 HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [27/Mar/2023:12:41:13 +0530] "GET /jerseyrest/webapi/books/book/1 HTTP/1.1" 200 119
